"432";"26/02/2020 00:00:00";"WELLPARK";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"EMBARQUE";"ILMENITA";"20.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/8002WELLPARK.jpg'/>";"EMBARQUE"
"431";"18/02/2020 00:00:00";"CHIOS LUCK";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"14.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/CHIOS_LUCK.jpg'/>";"DESCARGA"
"429";"14/02/2020 00:00:00";"PARANA WARRIOR";"MARAJO LOGISTICA E SERVIÇOS LTDA";"VIGIA";"MALTE";"3.030";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"VIGIA"
"430";"14/02/2020 00:00:00";"PARANA WARRIOR";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"MALTE";"3.030";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"DESCARGA"
"428";"11/02/2020 00:00:00";"SEPETIBA BAY";"MARAJO LOGISTICA E SERVIÇOS LTDA";"EMBARQUE";"COQUE";"28.275";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/SEPETIBA_BAY.jpg'/>";"EMBARQUE"
"427";"01/02/2020 00:00:00";"HALKI";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"12.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/HALKI.jpg'/>";"DESCARGA"
"426";"28/01/2020 00:00:00";"MARCOS DIAS";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"14.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/MARCOS_DIAS.jpg'/>";"DESCARGA"
"424";"06/01/2020 00:00:00";"PARANA WARRIOR";"MARAJO LOGISTICA E SERVIÇOS LTDA";"VIGIA";"MALTE";"7.025";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"VIGIA"
"425";"06/01/2020 00:00:00";"PARANA WARRIOR";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"MALTE";"7.025";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"DESCARGA "
"422";"02/01/2020 00:00:00";"NEWYORK HARMONY";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"VIGIA";"COQUE";"29.950";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/NEWYORK_HARMONY.jpg'/>";"ESCALAÇAO VIGIA"
