Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,26.549999,26.760000,26.469999,26.760000,26.760000,18423400
2019-03-07,26.799999,26.910000,26.490000,26.770000,26.770000,32835300
2019-03-08,26.490000,26.750000,26.219999,26.670000,26.670000,49564400
2019-03-11,27.020000,27.780001,27.010000,27.750000,27.750000,66742800
2019-03-12,27.790001,27.959999,27.250000,27.500000,27.500000,64287300
2019-03-13,27.590000,28.129999,27.520000,28.100000,28.100000,61057200
2019-03-14,28.150000,28.200001,27.910000,28.190001,28.190001,42777800
2019-03-15,28.160000,28.389999,28.110001,28.250000,28.250000,61041100
2019-03-18,28.350000,28.790001,28.260000,28.740000,28.740000,91920600
2019-03-19,28.850000,29.500000,28.600000,29.200001,29.200001,69423600
2019-03-20,29.200001,29.600000,28.900000,28.969999,28.969999,68878000
2019-03-21,28.840000,28.969999,27.920000,28.559999,28.559999,80121300
2019-03-22,27.940001,28.139999,27.000000,27.000000,27.000000,104731100
2019-03-25,26.830000,27.590000,26.820000,27.340000,27.340000,104772900
2019-03-26,27.740000,28.680000,27.719999,28.629999,28.629999,91549100
2019-03-27,28.209999,28.209999,27.340000,27.340000,27.340000,66415400
2019-03-28,27.250000,28.059999,26.950001,28.059999,28.059999,69412700
2019-03-29,28.450001,28.530001,27.740000,28.059999,28.059999,51587400
2019-04-01,28.400000,28.420000,27.870001,28.000000,28.000000,42289800
2019-04-02,28.139999,28.219999,27.860001,28.010000,28.010000,23795600
