Period,"Last Year   —   January 1, 2019 ? December 31, 2019",,,,
,,,,,
Time,Bline Convention Cntr,7th and Park Campus,Jordan and 7th,N College and RR,S Walnut and Wylie
14-05-2019 00:00:00,1578,183,106,33,14
15-05-2019 00:00:00,1337,157,92,31,16
16-05-2019 00:00:00,1390,167,78,25,24
17-05-2019 00:00:00,1550,177,102,30,12
18-05-2019 00:00:00,1834,96,46,34,28
19-05-2019 00:00:00,788,41,25,19,9
20-05-2019 00:00:00,1448,177,95,32,22
21-05-2019 00:00:00,845,112,63,17,10
22-05-2019 00:00:00,1104,118,53,14,16
23-05-2019 00:00:00,996,106,59,22,18
24-05-2019 00:00:00,1395,152,74,28,14
25-05-2019 00:00:00,1920,53,36,35,12
26-05-2019 00:00:00,1321,70,35,24,17
27-05-2019 00:00:00,1463,73,52,19,18
28-05-2019 00:00:00,1273,176,97,29,14
29-05-2019 00:00:00,926,82,46,16,16
30-05-2019 00:00:00,1355,157,87,21,12
31-05-2019 00:00:00,1512,169,80,24,21
01-06-2019 00:00:00,1995,89,45,36,14
02-06-2019 00:00:00,1546,75,53,24,16
03-06-2019 00:00:00,1642,216,122,35,20
04-06-2019 00:00:00,1552,209,95,34,18
05-06-2019 00:00:00,963,111,73,13,10
06-06-2019 00:00:00,1362,194,113,27,16
07-06-2019 00:00:00,1699,169,97,33,10
08-06-2019 00:00:00,1504,75,25,30,18
09-06-2019 00:00:00,560,21,12,7,11
10-06-2019 00:00:00,1460,217,101,33,19
11-06-2019 00:00:00,1580,257,131,32,21
12-06-2019 00:00:00,1481,237,114,29,15
13-06-2019 00:00:00,1374,222,107,27,23
14-06-2019 00:00:00,1429,178,93,20,23
15-06-2019 00:00:00,510,17,10,7,4
16-06-2019 00:00:00,735,23,13,12,9
17-06-2019 00:00:00,876,116,74,11,7
18-06-2019 00:00:00,1269,182,87,41,15
19-06-2019 00:00:00,817,124,59,18,12
20-06-2019 00:00:00,1284,176,81,27,16
21-06-2019 00:00:00,1230,153,77,13,12
22-06-2019 00:00:00,1625,85,21,32,13
23-06-2019 00:00:00,1023,51,20,27,12
24-06-2019 00:00:00,1174,121,77,19,17
25-06-2019 00:00:00,1723,209,118,38,14
26-06-2019 00:00:00,1385,193,114,36,19
27-06-2019 00:00:00,1280,176,102,27,21
28-06-2019 00:00:00,1494,159,87,28,13
29-06-2019 00:00:00,1451,74,34,27,18
30-06-2019 00:00:00,814,52,21,19,11
01-07-2019 00:00:00,1221,156,111,35,11
02-07-2019 00:00:00,1308,144,118,23,13
03-07-2019 00:00:00,998,107,77,26,18
04-07-2019 00:00:00,1249,77,47,28,10
05-07-2019 00:00:00,1071,94,55,12,17
06-07-2019 00:00:00,1490,69,27,22,13
07-07-2019 00:00:00,1185,73,35,16,12
08-07-2019 00:00:00,1416,198,119,37,24
09-07-2019 00:00:00,1330,215,134,31,13
10-07-2019 00:00:00,1101,180,98,24,11
11-07-2019 00:00:00,1305,191,117,37,18
12-07-2019 00:00:00,1506,189,124,33,15
13-07-2019 00:00:00,1782,102,40,34,13
14-07-2019 00:00:00,1167,72,40,18,17
15-07-2019 00:00:00,1173,172,107,23,15
16-07-2019 00:00:00,959,149,80,16,6
17-07-2019 00:00:00,1078,158,90,18,20
18-07-2019 00:00:00,1100,197,108,20,8
19-07-2019 00:00:00,1065,145,84,23,16
20-07-2019 00:00:00,1129,87,38,19,11
21-07-2019 00:00:00,780,51,30,7,15
22-07-2019 00:00:00,1308,156,94,18,22
23-07-2019 00:00:00,1656,218,125,32,13
24-07-2019 00:00:00,1473,186,111,28,20
25-07-2019 00:00:00,1485,197,112,29,21
26-07-2019 00:00:00,1535,178,82,30,20
27-07-2019 00:00:00,1624,107,30,38,10
28-07-2019 00:00:00,1146,83,57,30,22
29-07-2019 00:00:00,984,106,54,17,9
30-07-2019 00:00:00,1280,126,84,28,16
31-07-2019 00:00:00,1494,149,102,26,12
01-08-2019 00:00:00,1362,144,89,27,21
02-08-2019 00:00:00,1412,153,84,24,21
03-08-2019 00:00:00,1520,89,42,19,14
04-08-2019 00:00:00,1245,49,26,21,12
05-08-2019 00:00:00,1345,188,109,20,17
06-08-2019 00:00:00,1217,133,103,17,16
07-08-2019 00:00:00,1405,179,117,20,18
08-08-2019 00:00:00,1207,166,128,30,21
09-08-2019 00:00:00,1341,174,96,24,12
10-08-2019 00:00:00,1642,96,66,19,16
11-08-2019 00:00:00,1416,116,78,23,13
12-08-2019 00:00:00,1390,203,125,31,11
13-08-2019 00:00:00,1348,208,111,33,17
14-08-2019 00:00:00,1609,209,153,34,23
15-08-2019 00:00:00,1596,211,122,24,15
16-08-2019 00:00:00,1524,218,152,36,15
17-08-2019 00:00:00,1506,98,64,41,12
18-08-2019 00:00:00,1253,128,110,23,9
19-08-2019 00:00:00,1360,323,197,29,18
20-08-2019 00:00:00,1177,257,194,22,15
21-08-2019 00:00:00,1572,354,288,30,10
22-08-2019 00:00:00,1048,249,194,28,11
23-08-2019 00:00:00,1714,381,352,46,9
24-08-2019 00:00:00,2286,197,167,50,24
25-08-2019 00:00:00,1879,205,252,44,18
26-08-2019 00:00:00,815,279,306,21,18
27-08-2019 00:00:00,1371,395,368,30,14
28-08-2019 00:00:00,1835,635,595,44,20
29-08-2019 00:00:00,1716,121,540,34,21
30-08-2019 00:00:00,1510,479,441,42,24
31-08-2019 00:00:00,2208,178,126,39,18
01-09-2019 00:00:00,1562,127,116,31,14
02-09-2019 00:00:00,1643,169,155,30,23
03-09-2019 00:00:00,1516,590,532,36,23
04-09-2019 00:00:00,1629,666,614,51,26
05-09-2019 00:00:00,1708,633,601,55,22
06-09-2019 00:00:00,1647,472,498,30,17
07-09-2019 00:00:00,2083,206,152,39,10
08-09-2019 00:00:00,1555,207,151,31,18
09-09-2019 00:00:00,1629,583,596,54,16
10-09-2019 00:00:00,1598,598,565,42,18
11-09-2019 00:00:00,1512,581,584,39,22
12-09-2019 00:00:00,1411,552,554,32,18
13-09-2019 00:00:00,1419,458,411,40,19
14-09-2019 00:00:00,1848,155,100,32,18
15-09-2019 00:00:00,2009,154,174,20,19
16-09-2019 00:00:00,1436,601,588,42,28
17-09-2019 00:00:00,1578,591,604,43,18
18-09-2019 00:00:00,1616,640,624,41,21
19-09-2019 00:00:00,1580,588,500,41,27
20-09-2019 00:00:00,1513,520,448,30,21
21-09-2019 00:00:00,1712,193,113,38,16
22-09-2019 00:00:00,1573,169,154,31,17
23-09-2019 00:00:00,1322,535,562,24,13
24-09-2019 00:00:00,1572,591,554,27,24
25-09-2019 00:00:00,1571,607,562,27,19
26-09-2019 00:00:00,1603,632,552,22,14
27-09-2019 00:00:00,1553,451,423,34,14
28-09-2019 00:00:00,1725,217,141,24,13
29-09-2019 00:00:00,1301,155,159,28,8
30-09-2019 00:00:00,1264,551,566,29,17
01-10-2019 00:00:00,1393,590,542,29,11
02-10-2019 00:00:00,1387,572,566,37,13
03-10-2019 00:00:00,1432,579,503,28,20
04-10-2019 00:00:00,1666,459,416,36,20
05-10-2019 00:00:00,1883,201,137,32,11
06-10-2019 00:00:00,853,94,98,18,11
07-10-2019 00:00:00,1430,533,517,16,22
08-10-2019 00:00:00,1392,597,473,26,14
09-10-2019 00:00:00,1508,541,507,30,19
10-10-2019 00:00:00,1494,532,470,35,13
11-10-2019 00:00:00,598,185,222,6,13
12-10-2019 00:00:00,1362,135,124,24,5
13-10-2019 00:00:00,1359,161,146,33,9
14-10-2019 00:00:00,1348,493,431,28,12
15-10-2019 00:00:00,1311,465,443,29,7
16-10-2019 00:00:00,999,427,422,21,7
17-10-2019 00:00:00,1280,413,306,22,12
18-10-2019 00:00:00,1243,220,121,22,17
19-10-2019 00:00:00,1508,151,72,29,10
20-10-2019 00:00:00,1472,139,92,20,7
21-10-2019 00:00:00,673,161,181,9,6
22-10-2019 00:00:00,1334,455,400,30,7
23-10-2019 00:00:00,1213,448,368,21,9
24-10-2019 00:00:00,1148,428,369,24,14
25-10-2019 00:00:00,1123,343,294,35,11
26-10-2019 00:00:00,392,35,22,4,5
27-10-2019 00:00:00,1428,152,107,14,9
28-10-2019 00:00:00,1111,454,343,15,11
29-10-2019 00:00:00,1171,437,369,21,7
30-10-2019 00:00:00,616,234,199,12,8
31-10-2019 00:00:00,475,175,183,10,6
01-11-2019 00:00:00,1034,206,200,19,11
02-11-2019 00:00:00,1136,129,73,17,8
03-11-2019 00:00:00,1112,111,88,25,7
04-11-2019 00:00:00,977,344,322,23,13
05-11-2019 00:00:00,1135,364,319,25,7
06-11-2019 00:00:00,895,372,310,20,12
07-11-2019 00:00:00,617,240,208,12,12
08-11-2019 00:00:00,787,249,182,15,10
09-11-2019 00:00:00,989,97,72,16,5
10-11-2019 00:00:00,1234,116,120,21,14
11-11-2019 00:00:00,451,180,158,9,10
12-11-2019 00:00:00,383,101,92,2,8
13-11-2019 00:00:00,576,171,132,6,16
14-11-2019 00:00:00,817,235,158,11,18
15-11-2019 00:00:00,816,208,165,12,8
16-11-2019 00:00:00,1009,76,52,15,9
17-11-2019 00:00:00,924,76,78,10,11
18-11-2019 00:00:00,695,265,213,11,12
19-11-2019 00:00:00,623,220,199,10,9
20-11-2019 00:00:00,861,284,236,18,9
21-11-2019 00:00:00,587,169,148,10,8
22-11-2019 00:00:00,847,192,172,16,9
23-11-2019 00:00:00,371,20,8,2,6
24-11-2019 00:00:00,865,32,25,11,8
25-11-2019 00:00:00,916,95,60,14,13
26-11-2019 00:00:00,648,55,33,6,5
27-11-2019 00:00:00,510,24,12,8,4
28-11-2019 00:00:00,342,16,6,0,1
29-11-2019 00:00:00,584,28,7,9,5
30-11-2019 00:00:00,291,17,3,4,2
01-12-2019 00:00:00,459,26,24,3,3
02-12-2019 00:00:00,635,202,161,6,9
03-12-2019 00:00:00,744,217,181,3,4
04-12-2019 00:00:00,843,278,181,13,8
05-12-2019 00:00:00,956,264,198,18,8
06-12-2019 00:00:00,826,248,169,14,7
07-12-2019 00:00:00,1042,88,69,11,4
08-12-2019 00:00:00,902,102,93,12,6
09-12-2019 00:00:00,467,130,86,5,3
10-12-2019 00:00:00,570,193,142,1,7
11-12-2019 00:00:00,638,187,151,20,7
12-12-2019 00:00:00,725,230,155,20,11
13-12-2019 00:00:00,743,193,133,12,9
14-12-2019 00:00:00,746,77,41,11,3
15-12-2019 00:00:00,451,48,25,7,8
16-12-2019 00:00:00,372,60,39,9,17
17-12-2019 00:00:00,628,85,63,6,10
18-12-2019 00:00:00,533,103,67,4,10
19-12-2019 00:00:00,543,110,62,6,12
20-12-2019 00:00:00,656,79,51,9,10
21-12-2019 00:00:00,732,44,22,5,6
22-12-2019 00:00:00,693,26,7,5,2
23-12-2019 00:00:00,749,43,22,7,5
24-12-2019 00:00:00,608,33,8,1,2
25-12-2019 00:00:00,545,12,4,5,4
26-12-2019 00:00:00,970,32,17,7,6
27-12-2019 00:00:00,697,23,16,7,8
28-12-2019 00:00:00,715,16,10,4,6
29-12-2019 00:00:00,367,9,5,1,6
30-12-2019 00:00:00,488,23,12,6,8
31-12-2019 00:00:00,452,14,5,1,3
