RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
15/02/2021;ZONA OESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
16/02/2021;ZONA OESTE;PORTS TREINAMENTOS E CONSULTORIA LTDA;Serviços Privados;FINALIZADA;Online
19/02/2021;ZONA OESTE;FORMULA 1 PRIME SERVIÇOS AUTOMOTIVOS ME;Serviços Privados;FINALIZADA;Online
19/02/2021;ZONA NORTE;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
21/02/2021;ZONA SUL;PAPITO IMPORTS OFICIAL ME;Produtos;CONCLUÍDA;Online
22/02/2021;ZONA NORTE;CD PROJEKT RED;Produtos;CONCLUÍDA;Online
23/02/2021;ZONA LESTE;Z.A. DIGITAL DE SAO PAULO SISTEMA DE ESTACIONAMENTO ROTATIVO S.A.;Serviços Privados;CONCLUÍDA;Online
23/02/2021;FORA DA CIDADE DE SÃO PAULO;SMARTFIT ESCOLA DE GINASTICA E DANCA S.A;Serviços Privados;CONCLUÍDA;Online
01/03/2021;FORA DA CIDADE DE SÃO PAULO;AURORA BEAUTE FEM COMERCIO DE ARTIGOS DE VESTUARIO LTDA;Produtos;FINALIZADA;Online
01/03/2021;ZONA NORTE;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
01/03/2021;FORA DA CIDADE DE SÃO PAULO;EMPORIO MARQUES COMERCIO DE BEBIDAS FINAS EIRELI;Produtos;CONCLUÍDA;Online
02/03/2021;FORA DA CIDADE DE SÃO PAULO;BANCO BRADESCO S.A.;Assuntos Financeiros;CONCLUÍDA;Online
02/03/2021;CENTRO;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;Produtos;CONCLUÍDA;Online
02/03/2021;FORA DA CIDADE DE SÃO PAULO;BANCO C6 S.A.;Assuntos Financeiros;CONCLUÍDA;Online
02/03/2021;ZONA LESTE;MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO;Assuntos Financeiros;CONCLUÍDA;Online
03/03/2021;ZONA LESTE;FUSAO SERRALHERIA ARTISTICA EIRELI;Serviços Privados;FINALIZADA;Online
03/03/2021;ZONA OESTE;NU PAGAMENTOS S.A.;Assuntos Financeiros;CONCLUÍDA;Online
03/03/2021;ZONA OESTE;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
04/03/2021;ZONA LESTE;ELECTROLUX DO BRASIL S/A;Produtos;CONCLUÍDA;Online
06/03/2021;ZONA SUL;ITAPEVA RECUPERACAO DE CREDITOS LTDA.;Serviços Privados;CONCLUÍDA;Online
07/03/2021;ZONA SUL;BANCO DAYCOVAL S.A.;Assuntos Financeiros;CONCLUÍDA;Online
07/03/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
08/03/2021;FORA DA CIDADE DE SÃO PAULO;MERCADOPAGO.COM REPRESENTACOES LTDA.;Serviços Privados;CONCLUÍDA;Online
09/03/2021;ZONA LESTE;TITANIUM PUBLICACOES E EDITORA LTDA;Serviços Privados;CONCLUÍDA;Online
09/03/2021;ZONA LESTE;L.A.M. FOLINI;Serviços Privados;CONCLUÍDA;Online
09/03/2021;ZONA LESTE;FUNDACAO DOM AGUIRRE;Serviços Privados;CONCLUÍDA;Online
10/03/2021;FORA DA CIDADE DE SÃO PAULO;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;Produtos;CONCLUÍDA;Online
10/03/2021;ZONA SUL;TIM S A;Serviços Privados;CONCLUÍDA;Online
11/03/2021;ZONA SUL;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
12/03/2021;ZONA LESTE;DESINCHA COMERCIO DE PRODUTOS NATURAIS LTDA.;Produtos;CONCLUÍDA;Online
15/03/2021;CENTRO;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;Produtos;CONCLUÍDA;Online
15/03/2021;FORA DA CIDADE DE SÃO PAULO;P R DA SILVA URSINI COMERCIO DE INFORMATICA;Serviços Privados;CONCLUÍDA;Online
15/03/2021;ZONA LESTE;DMCARD PROCESSAMENTO DE DADOS E CENTRAL DE ATENDIMENTO LTDA;Serviços Privados;FINALIZADA;Online
15/03/2021;ZONA LESTE;PORTOSEG S/A - CREDITO, FINANCIAMENTO E INVESTIMENTO;Assuntos Financeiros;CONCLUÍDA;Online
15/03/2021;ZONA SUL;MAGAZINE LUIZA S/A;Produtos;CONCLUÍDA;Online
15/03/2021;ZONA LESTE;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;Serviços Essenciais;CONCLUÍDA;Online
18/03/2021;ZONA LESTE;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
19/03/2021;FORA DA CIDADE DE SÃO PAULO;WIRECARD BRAZIL S.A.;Serviços Privados;CONCLUÍDA;Online
20/03/2021;ZONA LESTE;ADRIANA DA CONCEIÇÃO SANTOS - PF;Serviços Privados;CONCLUÍDA;Online
20/03/2021;ZONA NORTE;MERCADOPAGO.COM REPRESENTACOES LTDA.;Serviços Privados;CONCLUÍDA;Online
21/03/2021;ZONA LESTE;BB ADMINISTRADORA DE CONSORCIOS S.A.;Assuntos Financeiros;CONCLUÍDA;Online
22/03/2021;ZONA NORTE;LOJAS AMERICANAS S.A.;Produtos;CONCLUÍDA;Online
22/03/2021;ZONA SUL;APPLE COMPUTER BRASIL LTDA;Produtos;CONCLUÍDA;Online
22/03/2021;FORA DA CIDADE DE SÃO PAULO;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;Saúde;CONCLUÍDA;Online
22/03/2021;ZONA SUL;SHPS TECNOLOGIA E SERVICOS LTDA.;Serviços Privados;CANCELADA PELO CONSUMIDOR;Online
22/03/2021;ZONA LESTE;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
24/03/2021;ZONA LESTE;PAULISTA SAUDE S/A;Saúde;CONCLUÍDA;Online
25/03/2021;CENTRO;RECOVERY DO BRASIL CONSULTORIA S.A;Serviços Privados;CONCLUÍDA;Online
25/03/2021;ZONA SUL;MOBLY COMERCIO VAREJISTA LTDA.;Produtos;CONCLUÍDA;Online
26/03/2021;ZONA SUL;WMAQ;Serviços Privados;CONCLUÍDA;Online
26/03/2021;ZONA LESTE;123 VIAGENS E TURISMO LTDA.;Serviços Privados;FINALIZADA;Online
27/03/2021;ZONA OESTE;AVANTI CNH EIRELI;Serviços Privados;CONCLUÍDA;Online
29/03/2021;ZONA SUL;NAO INFORMADO;Serviços Privados;CONCLUÍDA;Online
30/03/2021;FORA DA CIDADE DE SÃO PAULO;SKY SERVICOS DE BANDA LARGA LTDA.;Serviços Privados;CONCLUÍDA;Online
30/03/2021;FORA DA CIDADE DE SÃO PAULO;GOTOGATE AGENCIA DE VIAGENS LTDA;Serviços Privados;CONCLUÍDA;Online
30/03/2021;ZONA SUL;ATACADAO S.A.;Produtos;CONCLUÍDA;Online
31/03/2021;ZONA SUL;UNIVERSO ONLINE S/A;Serviços Privados;CANCELADA PELO CONSUMIDOR;Online
31/03/2021;ZONA SUL;MOBLY COMERCIO VAREJISTA LTDA.;Produtos;CONCLUÍDA;Online
31/03/2021;ZONA OESTE;PICPAY SERVICOS S.A;Assuntos Financeiros;CONCLUÍDA;Online
31/03/2021;FORA DA CIDADE DE SÃO PAULO;CAIXA ECONOMICA FEDERAL;Assuntos Financeiros;CANCELADA PELO CONSUMIDOR;Online
01/04/2021;FORA DA CIDADE DE SÃO PAULO;PLUMATEX COLCHOES INDUSTRIAL LIMITADA;Produtos;CONCLUÍDA;Online
01/04/2021;ZONA SUL;DAVO SUPERMERCADOS LTDA;Produtos;CONCLUÍDA;Online
02/04/2021;NÃO INFORMADO;HYUNDAI CAOA DO BRASIL LTDA;Serviços Privados;CONCLUÍDA;Online
05/04/2021;ZONA SUL;DAVO SUPERMERCADOS LTDA;Produtos;CONCLUÍDA;Online
05/04/2021;ZONA NORTE;MAX DISTRIBUIDORA DE ELETRONICOS LTDA;Produtos;FINALIZADA;Online
06/04/2021;NÃO INFORMADO;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTSEGMENTOS NPL IPANEMA VI ;Serviços Privados;CONCLUÍDA;Online
06/04/2021;FORA DA CIDADE DE SÃO PAULO;TIM S A;Serviços Essenciais;CONCLUÍDA;Online
06/04/2021;FORA DA CIDADE DE SÃO PAULO;ADMINISTRADORA DE CARTAO DE DESCONTO CARTAO DE TODOS LTDA;Assuntos Financeiros;CONCLUÍDA;Online
07/04/2021;FORA DA CIDADE DE SÃO PAULO;FLYTOUR AGENCIA DE VIAGENS E TURISMO LTDA.;Serviços Privados;CONCLUÍDA;Online
10/04/2021;ZONA OESTE;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;Serviços Essenciais;CONCLUÍDA;Online
11/04/2021;FORA DA CIDADE DE SÃO PAULO;CARREFOUR COMERCIO E INDUSTRIA LTDA;Produtos;CONCLUÍDA;Online
11/04/2021;CENTRO;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
12/04/2021;FORA DA CIDADE DE SÃO PAULO;IBC - INSTITUTO BRASILEIRO DE CULTURA LTDA.;Produtos;CONCLUÍDA;Online
12/04/2021;ZONA SUL;BANCO DAYCOVAL S.A.;Assuntos Financeiros;CONCLUÍDA;Online
12/04/2021;FORA DA CIDADE DE SÃO PAULO;SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO;Serviços Privados;CONCLUÍDA;Online
13/04/2021;FORA DA CIDADE DE SÃO PAULO;KALUNGA SA;Produtos;CONCLUÍDA;Online
13/04/2021;FORA DA CIDADE DE SÃO PAULO;TIM S A;Serviços Essenciais;CONCLUÍDA;Online
13/04/2021;FORA DA CIDADE DE SÃO PAULO;NOTRE DAME INTERMÉDICA SAÚDE S.A.;Saúde;CONCLUÍDA;Online
13/04/2021;ZONA NORTE;SMARTFIT ESCOLA DE GINASTICA E DANCA S.A;Não Informado;CONCLUÍDA;Online
14/04/2021;ZONA OESTE;MAGAZINE LUIZA S/A;Produtos;CONCLUÍDA;Online
14/04/2021;ZONA OESTE;KABUM COMERCIO ELETRONICO S.A.;Produtos;CONCLUÍDA;Online
15/04/2021;FORA DA CIDADE DE SÃO PAULO;PEFISA SA CREDITO FINANCIAMENTO E INVESTIMENTO;Assuntos Financeiros;CONCLUÍDA;Online
16/04/2021;ZONA OESTE;123 VIAGENS E TURISMO LTDA.;Serviços Privados;CONCLUÍDA;Online
16/04/2021;ZONA SUL;SAMSUNG ELETRONICA DA AMAZONIA LTDA;Produtos;CONCLUÍDA;Online
