RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
20/05/2021;ZONA OESTE;FC ASSESSORIA ADMINISTRATIVA EIRELI;Serviços Privados;CONCLUÍDA;Online
20/05/2021;CENTRO;TAM LINHAS AEREAS S/A.;Serviços Privados;FINALIZADA;Online
20/05/2021;ZONA NORTE;UNIDAS S.A.;Serviços Privados;CONCLUÍDA;Online
20/05/2021;ZONA SUL;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;Serviços Essenciais;CONCLUÍDA;Online
20/05/2021;NÃO INFORMADO;BANCO CSF S/A;Assuntos Financeiros;CONCLUÍDA;Online
21/05/2021;FORA DA CIDADE DE SÃO PAULO;GUEL FASHION;Não Informado;CONCLUÍDA;Online
21/05/2021;ZONA SUL;MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA;Produtos;CONCLUÍDA;Online
22/05/2021;ZONA LESTE;TIM S A;Serviços Essenciais;CONCLUÍDA;Online
22/05/2021;ZONA LESTE;INSTITUTO DE EDUCACAO SECULO XXI LTDA;Serviços Privados;CONCLUÍDA;Online
23/05/2021;ZONA LESTE;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
25/05/2021;ZONA LESTE;GESTUAL AGENCIA DE MODELOS LTDA;Serviços Privados;EM PROCESSAMENTO;Online
25/05/2021;NÃO INFORMADO;ULTRA FACIL CLINICA DE ODONTOLOGIA AMADOR BUENO LTDA.;Saúde;CONCLUÍDA;Online
25/05/2021;ZONA LESTE;SUPERMERCADO ROSSI NEW LTDA;Produtos;FINALIZADA;Online
25/05/2021;FORA DA CIDADE DE SÃO PAULO;WHIRLPOOL ELETRODOMESTICOS AM S.A.;Produtos;CONCLUÍDA;Online
25/05/2021;ZONA SUL;PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
26/05/2021;FORA DA CIDADE DE SÃO PAULO;ACSCBR ASSESSORIA E APOIO ADMINISTRATIVO LTDA;Serviços Privados;CONCLUÍDA;Online
26/05/2021;ZONA LESTE;LOJAS RIACHUELO SA;Produtos;CONCLUÍDA;Online
26/05/2021;ZONA SUL;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
26/05/2021;CENTRO;INSTITUTO PRESBITERIANO MACKENZIE;Serviços Privados;CANCELADA PELO CONSUMIDOR;Online
26/05/2021;ZONA SUL;QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;Saúde;CONCLUÍDA;Online
26/05/2021;NÃO INFORMADO;TIM S A;Serviços Essenciais;CONCLUÍDA;Online
27/05/2021;CENTRO;LUWA ARTIGOS PARA DANCA E ESPORTES LTDA;Produtos;CONCLUÍDA;Online
27/05/2021;ZONA LESTE;APPLE COMPUTER BRASIL LTDA;Produtos;CONCLUÍDA;Online
27/05/2021;CENTRO;LOJAS AMERICANAS S.A.;Produtos;CONCLUÍDA;Online
27/05/2021;ZONA SUL;SAMSUNG ELETRONICA DA AMAZONIA LTDA;Produtos;CONCLUÍDA;Online
27/05/2021;ZONA OESTE;C MARIANO VEICULOS EIRELI;Produtos;CONCLUÍDA;Online
28/05/2021;CENTRO;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
28/05/2021;NÃO INFORMADO;MAGOTE SERVICOS DE INTERMEDIACAO FINANCEIRA E PARTICIPACOES LTDA;Serviços Privados;FINALIZADA;Online
29/05/2021;FORA DA CIDADE DE SÃO PAULO;UANDREY MARTINS RUFINO ME;Serviços Privados;CONCLUÍDA;Online
31/05/2021;ZONA OESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
31/05/2021;CENTRO;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;Serviços Essenciais;CONCLUÍDA;Online
31/05/2021;FORA DA CIDADE DE SÃO PAULO;NÃO INFORMADO;Não Informado;CONCLUÍDA;Online
31/05/2021;FORA DA CIDADE DE SÃO PAULO;VIA VAREJO S/A;Produtos;CONCLUÍDA;Online
31/05/2021;ZONA OESTE;B2W COMPANHIA DIGITAL;Produtos;CONCLUÍDA;Online
31/05/2021;ZONA OESTE;MK ELETRODOMESTICOS MONDIAL S.A.;Produtos;CONCLUÍDA;Online
31/05/2021;ZONA LESTE;LOJA TA CHEGANDO.COM;Produtos;CONCLUÍDA;Online
31/05/2021;ZONA NORTE;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;Serviços Essenciais;CONCLUÍDA;Online
01/06/2021;ZONA LESTE;NÃO INFORMADO;Não Informado;CONCLUÍDA;Online
01/06/2021;ZONA OESTE;BANCO MERCANTIL DO BRASIL SA;Assuntos Financeiros;CONCLUÍDA;Online
02/06/2021;ZONA SUL;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
02/06/2021;FORA DA CIDADE DE SÃO PAULO;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
02/06/2021;FORA DA CIDADE DE SÃO PAULO;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
02/06/2021;ZONA LESTE;PADARIA LOPES;Produtos;CONCLUÍDA;Online
02/06/2021;ZONA NORTE;DELL COMPUTADORES DO BRASIL LTDA;Produtos;CONCLUÍDA;Online
03/06/2021;ZONA SUL;A.L. CAMARGOS ACOUGUE;Serviços Privados;CONCLUÍDA;Online
04/06/2021;ZONA NORTE;ROYAL PETS COMERCIO DE ARTIGOS DE PETSHOP LTDA;Produtos;CONCLUÍDA;Online
05/06/2021;ZONA OESTE;SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA.;Serviços Privados;CONCLUÍDA;Online
06/06/2021;ZONA NORTE;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;Serviços Privados;CONCLUÍDA;Online
07/06/2021;ZONA OESTE;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
07/06/2021;FORA DA CIDADE DE SÃO PAULO;ANA AMELIA ASSIS DE OLIVEIRA ME;Produtos;CONCLUÍDA;Online
07/06/2021;ZONA OESTE;CLINICA DR PARA TODOS EIRELI;Saúde;CONCLUÍDA;Online
07/06/2021;NÃO INFORMADO;LOJAS AMERICANAS S.A.;Produtos;CONCLUÍDA;Online
07/06/2021;ZONA NORTE;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;Serviços Privados;CONCLUÍDA;Online
07/06/2021;ZONA NORTE;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;Serviços Privados;CONCLUÍDA;Online
07/06/2021;ZONA LESTE;VK DISTRIBUIDOR LTDA;Produtos;CONCLUÍDA;Online
08/06/2021;ZONA NORTE;B2W COMPANHIA DIGITAL;Produtos;CONCLUÍDA;Online
08/06/2021;ZONA SUL;BANQI INSTITUICAO DE PAGAMENTO LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
08/06/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
09/06/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
09/06/2021;FORA DA CIDADE DE SÃO PAULO;LEANDRO URBANO DA SILVA ME;Produtos;CONCLUÍDA;Online
10/06/2021;ZONA LESTE;ALIPAY BRASIL MEIOS DE PAGAMENTO LTDA.;Produtos;CONCLUÍDA;Online
10/06/2021;CENTRO;JESSICA G C SCALONA - PF;Habitação;CONCLUÍDA;Online
11/06/2021;ZONA LESTE;WHIRLPOOL S.A;Produtos;CONCLUÍDA;Online
11/06/2021;FORA DA CIDADE DE SÃO PAULO;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
11/06/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
11/06/2021;ZONA LESTE;LIDA DAIDAIHUA;Não Informado;CONCLUÍDA;Online
14/06/2021;ZONA LESTE;CLARO S.A.;Serviços Essenciais;EM PROCESSAMENTO;Online
14/06/2021;FORA DA CIDADE DE SÃO PAULO;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
15/06/2021;NÃO INFORMADO;99 TECNOLOGIA LTDA;Serviços Privados;CONCLUÍDA;Online
15/06/2021;ZONA OESTE;POSTO DE SERVICOS AUTOMOTIVOS GALAPAGOS EIRELI;Serviços Privados;FINALIZADA;Online
15/06/2021;ZONA LESTE;B2W COMPANHIA DIGITAL;Produtos;CONCLUÍDA;Online
16/06/2021;FORA DA CIDADE DE SÃO PAULO;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;Serviços Privados;CONCLUÍDA;Online
16/06/2021;ZONA LESTE;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
16/06/2021;CENTRO;AMAZING BRASIL COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS ELETRONICOS LTDA;Produtos;CONCLUÍDA;Online
16/06/2021;FORA DA CIDADE DE SÃO PAULO;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA;Produtos;CONCLUÍDA;Online
16/06/2021;ZONA SUL;ROYAL WASH LAVANDERIA E TINTURARIA LTDA;Serviços Privados;CONCLUÍDA;Online
17/06/2021;CENTRO;BANCO BRADESCO S.A.;Assuntos Financeiros;CONCLUÍDA;Online
17/06/2021;ZONA LESTE;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
17/06/2021;ZONA NORTE;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
17/06/2021;CENTRO;MANDIC S.A.;Assuntos Financeiros;CONCLUÍDA;Online
18/06/2021;ZONA SUL;MERCADOPAGO.COM REPRESENTACOES LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
19/06/2021;ZONA LESTE;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
19/06/2021;ZONA SUL;MERCADOPAGO.COM REPRESENTACOES LTDA.;Produtos;CONCLUÍDA;Online
20/06/2021;ZONA OESTE;RAPPI BRASIL INTERMEDIACAO DE NEGOCIOS LTDA;Serviços Privados;CONCLUÍDA;Online
21/06/2021;ZONA LESTE;SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO S.A.;Serviços Privados;CONCLUÍDA;Online
21/06/2021;ZONA NORTE;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
21/06/2021;FORA DA CIDADE DE SÃO PAULO;BLOCCO CONSTRUTORA E INCORPORADORA LTDA.;Habitação;CONCLUÍDA;Online
21/06/2021;ZONA SUL;BANCO DO BRASIL SA;Assuntos Financeiros;CONCLUÍDA;Online
22/06/2021;ZONA NORTE;CARREFOUR COMERCIO E INDUSTRIA LTDA;Produtos;CONCLUÍDA;Online
22/06/2021;ZONA NORTE;SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO S.A.;Serviços Privados;EM PROCESSAMENTO;Online
22/06/2021;ZONA LESTE;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
22/06/2021;ZONA NORTE;STREAMCO DISTRIBUICAO DE VIDEO BRASIL LTDA;Serviços Privados;EM PROCESSAMENTO;Online
23/06/2021;FORA DA CIDADE DE SÃO PAULO;MERCADOPAGO.COM REPRESENTACOES LTDA.;Serviços Privados;CONCLUÍDA;Online
23/06/2021;ZONA SUL;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Serviços Privados;FINALIZADA;Online
24/06/2021;ZONA LESTE;FORD MOTOR COMPANY BRASIL LTDA;Serviços Privados;CONCLUÍDA;Online
24/06/2021;ZONA OESTE;CASAS FREIRE. COM COMERCIAL DE ELETRODOMESTICOS LTDA;Produtos;CONCLUÍDA;Online
24/06/2021;ZONA NORTE;CARREFOUR COMERCIO E INDUSTRIA LTDA;Assuntos Financeiros;CONCLUÍDA;Online
24/06/2021;ZONA OESTE;TVLX VIAGENS E TURISMO S/A;Serviços Privados;CONCLUÍDA;Online
25/06/2021;ZONA NORTE;ERIK CANDIDO GALDINO ME;Serviços Privados;EM PROCESSAMENTO;Online
26/06/2021;ZONA LESTE;GOOGLE BRASIL INTERNET LTDA.;Serviços Privados;CONCLUÍDA;Online
28/06/2021;ZONA SUL;DECOLAR. COM LTDA.;Serviços Privados;CONCLUÍDA;Online
29/06/2021;NÃO INFORMADO;CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO LTDA;Serviços Privados;CONCLUÍDA;Online
30/06/2021;ZONA OESTE;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;Serviços Essenciais;CONCLUÍDA;Online
01/07/2021;ZONA SUL;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;Alimentos;CONCLUÍDA;Online
02/07/2021;ZONA SUL;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
05/07/2021;ZONA OESTE;SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA;Serviços Privados;CONCLUÍDA;Online
06/07/2021;CENTRO;BANCO ORIGINAL S/A;Assuntos Financeiros;CONCLUÍDA;Online
06/07/2021;ZONA OESTE;BANCO MERCANTIL DO BRASIL SA;Assuntos Financeiros;EM PROCESSAMENTO;Online
07/07/2021;NÃO INFORMADO;ADT SERVICOS DE MONITORAMENTO LTDA;Serviços Privados;EM PROCESSAMENTO;Online
07/09/2021;FORA DA CIDADE DE SÃO PAULO;CAEDU COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO SA;Produtos;CONCLUÍDA;Online
12/07/2021;ZONA LESTE;MEU MEI ASSESSORIA LTDA;Serviços Privados;CONCLUÍDA;Online
12/07/2021;ZONA OESTE;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;Serviços Essenciais;CONCLUÍDA;Online
14/07/2021;ZONA LESTE;IBAZAR.COM ATIVIDADES DE INTERNET LTDA.;Serviços Privados;CONCLUÍDA;Online
15/07/2021;ZONA LESTE;GETNINJAS S.A;Serviços Privados;EM PROCESSAMENTO;Online
15/07/2021;NÃO INFORMADO;NS2.COM INTERNET S.A.;Produtos;CONCLUÍDA;Online
20/07/2021;CENTRO;ISCP - SOCIEDADE EDUCACIONAL LTDA - UNIVERSIDADE ANHEMBI MORUMBI;Serviços Essenciais;EM PROCESSAMENTO;Online
20/07/2021;ZONA SUL;JPL ESTETICA LTDA;Serviços Privados;EM PROCESSAMENTO;Online
21/07/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
23/07/2021;ZONA NORTE;DISTRIBUIDORA DE VIDROS SANTANA EIRELI;Produtos;EM PROCESSAMENTO;Presencial
23/07/2021;FORA DA CIDADE DE SÃO PAULO;RIO COA;Serviços Privados;CONCLUÍDA;Online
26/07/2021;NÃO INFORMADO;NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO;Assuntos Financeiros;EM PROCESSAMENTO;Online
26/07/2021;NÃO INFORMADO;SKY AIRLINE S.A.;Serviços Privados;EM PROCESSAMENTO;Online
26/07/2021;ZONA NORTE;MARCO MOVEIS PLANEJADOS EIRELI;Serviços Privados;EM PROCESSAMENTO;Online
26/07/2021;ZONA OESTE;MATHEUS JULIO RODRIGUES 24180776839 - HYPE PUBLICITY;Serviços Privados;EM PROCESSAMENTO;Online
27/07/2021;ZONA LESTE;AUTO POSTO RIO COA LTDA;Serviços Privados;EM PROCESSAMENTO;Online
27/07/2021;ZONA SUL;CLARO NXT TELECOMUNICACOES LTDA;Serviços Privados;CONCLUÍDA;Online
27/07/2021;ZONA SUL;BANCO ITAUCARD S.A.;Assuntos Financeiros;CONCLUÍDA;Online
28/07/2021;ZONA NORTE;MATHEUS JULIO RODRIGUES 24180776839 - HYPE PUBLICITY;Serviços Privados;EM PROCESSAMENTO;Presencial
28/07/2021;NÃO INFORMADO;PAGBRASIL PAGAMENTOS ELETRONICOS LTDA;Produtos;EM PROCESSAMENTO;Online
28/07/2021;NÃO INFORMADO;WB STATION BURGER - EIRELI;Produtos;EM PROCESSAMENTO;Online
28/07/2021;ZONA SUL;MERCADOPAGO.COM REPRESENTACOES LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
29/07/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
30/07/2021;FORA DA CIDADE DE SÃO PAULO;EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A;Produtos;CONCLUÍDA;Online
30/07/2021;ZONA SUL;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
30/07/2021;NÃO INFORMADO;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Produtos;EM PROCESSAMENTO;Online
30/07/2021;ZONA SUL;CREDITO PLANEJADO LTDA;Assuntos Financeiros;EM PROCESSAMENTO;Presencial
31/07/2021;NÃO INFORMADO;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Produtos;EM PROCESSAMENTO;Online
31/07/2021;CENTRO;BANCO ORIGINAL S/A;Assuntos Financeiros;EM PROCESSAMENTO;Online
01/08/2021;ZONA OESTE;VIVO S.A.;Serviços Essenciais;CONCLUÍDA;Online
02/08/2021;ZONA SUL;CLARO S.A.;Serviços Essenciais;EM PROCESSAMENTO;Online
02/08/2021;FORA DA CIDADE DE SÃO PAULO;U.C SPA E BELEZA LTDA;Serviços Privados;CONCLUÍDA;Online
03/08/2021;ZONA OESTE;D JUAN COLCHOES INDUSTRIA, COMERCIO E SERVICOS TEXTEIS LTDA;Produtos;EM PROCESSAMENTO;Online
03/08/2021;ZONA LESTE;CENTRO DE FORMACAO DE CONDUTORES A & B ROBLES TATUAPE LTDA;Serviços Privados;CONCLUÍDA;Online
04/08/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
04/08/2021;ZONA SUL;LG ELECTRONICS DO BRASIL LTDA;Produtos;CONCLUÍDA;Online
04/08/2021;ZONA LESTE;U.C SPA E BELEZA LTDA;Serviços Privados;EM PROCESSAMENTO;Online
05/08/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
05/08/2021;ZONA SUL;PAGBRASIL PAGAMENTOS ELETRONICOS LTDA;Produtos;CONCLUÍDA;Online
05/08/2021;FORA DA CIDADE DE SÃO PAULO;VIVO S.A.;Serviços Essenciais;CONCLUÍDA;Online
05/08/2021;NÃO INFORMADO;ANA LUIZA FIGUEIRO ME;Produtos;CONCLUÍDA;Online
06/08/2021;ZONA SUL;DECOLAR. COM LTDA;Serviços Privados;CONCLUÍDA;Online
06/08/2021;ZONA OESTE;INOVAR MAGAZINE EIRELI;Produtos;EM PROCESSAMENTO;Online
08/08/2021;CENTRO;TRANSPORTES AEREOS PORTUGUESES SA;Serviços Privados;CONCLUÍDA;Online
08/08/2021;FORA DA CIDADE DE SÃO PAULO;CASA BAHIA COMERCIAL LTDA.;Produtos;CONCLUÍDA;Online
09/08/2021;ZONA SUL;A. G. RUCHET EXPRESS DELIVERY;Serviços Privados;EM PROCESSAMENTO;Online
09/08/2021;CENTRO;OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;Serviços Essenciais;CONCLUÍDA;Online
09/08/2021;ZONA SUL;BUD COMERCIO DE ELETRODOMESTICOS LTDA - CONSUL S.A;Produtos;CONCLUÍDA;Online
09/08/2021;CENTRO;MUNDIVOX COMUNICACOES LTDA;Serviços Privados;EM PROCESSAMENTO;Online
10/08/2021;ZONA LESTE;ISCP - SOCIEDADE EDUCACIONAL LTDA.;Serviços Privados;CONCLUÍDA;Online
10/08/2021;FORA DA CIDADE DE SÃO PAULO;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;Serviços Privados;EM PROCESSAMENTO;Presencial
12/08/2021;ZONA NORTE;GATTI & SOL BUFFET E EVENTOS LTDA;Serviços Privados;EM PROCESSAMENTO;Presencial
12/08/2021;ZONA SUL;ZURICH MINAS BRASIL SEGUROS S.A.;Serviços Privados;CONCLUÍDA;Online
16/08/2021;ZONA SUL;LENOVO COMERCIAL E DISTRIBUICAO LIMITADA;Produtos;CONCLUÍDA;Online
16/08/2021;ZONA SUL;LENOVO COMERCIAL E DISTRIBUICAO LIMITADA;Produtos;CONCLUÍDA;Online
17/08/2021;ZONA SUL;BANCO DO BRASIL SA;Serviços Privados;CONCLUÍDA;Presencial
17/08/2021;ZONA SUL;MITRA DIOCESANA DE CAMPO LIMPO;Serviços Privados;FINALIZADA;Online
17/08/2021;ZONA SUL;PRO-ESCOLA DE GINASTICA EIRELI;Serviços Privados;EM PROCESSAMENTO;Online
18/08/2021;ZONA LESTE;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Produtos;EM PROCESSAMENTO;Online
18/08/2021;NÃO INFORMADO;CARRIJO IMOVEIS E EMPREENDIMENTOS LTDA;Serviços Essenciais;CONCLUÍDA;Online
19/08/2021;ZONA NORTE;ENJOEI S.A;Produtos;CONCLUÍDA;Online
19/08/2021;ZONA SUL;BOM ACORDO RECUPERACAO DE CREDITO EIRELI;Serviços Privados;EM PROCESSAMENTO;Presencial
19/08/2021;FORA DA CIDADE DE SÃO PAULO;RESERVA ADMINISTRADORA DE CONSORCIO LTDA;Assuntos Financeiros;CONCLUÍDA;Online
19/08/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
20/08/2021;ZONA LESTE;FS ONLINE VENTURE EIRELI;Produtos;EM PROCESSAMENTO;Online
21/08/2021;ZONA SUL;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
22/08/2021;ZONA NORTE;MAGAZINE LUIZA S/A;Produtos;CONCLUÍDA;Online
23/08/2021;ZONA LESTE;VIVO S.A.;Serviços Essenciais;CONCLUÍDA;Online
24/08/2021;ZONA NORTE;EXTRA.COM;Produtos;CONCLUÍDA;Online
25/08/2021;CENTRO;CENTRO DE FORMACAO DE CONDUTORES A E B SAO PAULO LTDA;Serviços Privados;EM PROCESSAMENTO;Presencial
25/08/2021;NÃO INFORMADO;BANCO C6 S.A.;Serviços Privados;CONCLUÍDA;Online
25/08/2021;CENTRO;HOSPITAL SANTA PAULA S/A;Serviços Essenciais;EM PROCESSAMENTO;Presencial
25/08/2021;ZONA NORTE;FABRINE LUIZA DE LIMA ME;Produtos;CONCLUÍDA;Online
25/08/2021;ZONA NORTE;MATEUS DOS SANTOS MATOS;Produtos;EM PROCESSAMENTO;Online
26/08/2021;CENTRO;OI MOVEL S.A. ;Serviços Essenciais;EM PROCESSAMENTO;Presencial
27/08/2021;ZONA SUL;PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA;Alimentos;EM PROCESSAMENTO;Online
27/08/2021;ZONA SUL;VL COMERCIO DE AUTOS E MOTOS NOVOS E USADOS EIRELLI;Serviços Privados;FINALIZADA;Online
31/08/2021;ZONA LESTE;BECRUX CONSULTORIA EM ATIVOS DE CREDITO LIMITADA;Serviços Privados;CANCELADA PELO CONSUMIDOR;Online
31/08/2021;ZONA LESTE;BECRUX CONSULTORIA EM ATIVOS DE CREDITO LIMITADA;Serviços Privados;CONCLUÍDA;Online
31/08/2021;NÃO INFORMADO;NÃO INFORMADO;Não Informado;CONCLUÍDA;Online
31/08/2021;ZONA LESTE;MSC CRUZEIROS;Serviços Privados;CONCLUÍDA;Online
